id,type,category,documents,question,expected_answer,key_points,min_required_points,answerable
Q001,simple,factual_evidence,01_rag_original_lewis_2020.pdf,"In RAG, qual è la differenza fondamentale tra RAG-Sequence e RAG-Token nella formulazione della probabilità target?",In RAG-Sequence ogni documento genera l'intera sequenza di output in modo esclusivo (il modello sceglie un documento e genera l'intera risposta). In RAG-Token ogni token può essere generato da documenti diversi (il modello può cambiare documento a ogni token).,RAG-Sequence: un documento per l'intera sequenza;RAG-Token: documento diverso per ogni token,1,True
Q002,simple,factual_evidence,01_rag_original_lewis_2020.pdf,"Nel paper RAG, il retriever usa DPR. Cosa distingue il formato 'input order' dal formato 'index order' nella rappresentazione dei documenti?",In 'input order' il titolo e il testo del documento vengono concatenati come singola sequenza per il retrieval. In 'index order' titolo e corpo vengono appiattiti in un unico flusso. Il paper usa input order per la rappresentazione dei documenti nel DPR.,Input order: titolo seguito dal corpo del documento come unica sequenza;Index order: appiattimento diverso;Il paper adotta input order,2,True
Q003,simple,factual_evidence,02_self_rag_asai_2023.pdf,Quali sono i tre tipi di critique token generati da Self-RAG e cosa valuta ciascuno?,"IsRel (valuta se il documento recuperato è rilevante per la domanda), IsSupport (valuta se il documento supporta la risposta generata), IsUse (valuta se il documento è effettivamente utile per generare la risposta finale).",IsRel: rilevanza documento-domanda;IsSupport: supporto documento-risposta;IsUse: utilità del documento per la generazione,2,True
Q004,simple,factual_evidence,02_self_rag_asai_2023.pdf,"Il paper Self-RAG dichiara esplicitamente il numero di pagine, figure e tabelle. Quali sono questi numeri?","30 pagine, 2 figure, 12 tabelle.",30 pagine;2 figure;12 tabelle,2,True
Q005,simple,factual_evidence,03_attention_transformer_vaswani_2017.pdf,Quali sono i tre iperparametri architetturali principali del modello Transformer base riportati nella sezione 3 del paper?,"6 layer (encoder e decoder), d_model=512, 8 attention heads.",6 layer per encoder e decoder;d_model=512;8 attention heads,2,True
Q006,simple,factual_evidence,03_attention_transformer_vaswani_2017.pdf,"Nel Transformer, da quali due sotto-strati principali è composto ogni blocco encoder e in che ordine appaiono?","Ogni blocco encoder è composto da: (1) un meccanismo di multi-head self-attention, (2) un feed-forward network position-wise. Entrambi seguiti da residual connection e layer normalization.",Multi-head self-attention;Feed-forward network;Residual connection + layer normalization dopo ogni sotto-strato,2,True
Q007,simple,factual_evidence,04_yolov7_wang_2022.pdf,Cosa sono i 'bag-of-freebies' in YOLOv7 e qual è il loro scopo principale?,"Sono tecniche di training che migliorano l'accuratezza del modello senza aumentare il costo computazionale durante l'inferenza. Includono metodi come data augmentation, label assignment e strategie di ottimizzazione applicate solo in fase di training.","Tecniche di training che migliorano accuratezza;Non aumentano costo di inferenza;Esempi: data augmentation, label assignment",2,True
Q008,simple,factual_evidence,04_yolov7_wang_2022.pdf,Quale architettura backbone viene utilizzata come base in YOLOv7?,"YOLOv7 utilizza E-ELAN (Extended Efficient Layer Aggregation Network) come architettura backbone, che estende ELAN con una migliore gestione del gradient flow e controllo del numero di parametri.",E-ELAN (Extended Efficient Layer Aggregation Network);Evoluzione di ELAN;Migliore gradient flow e controllo parametri,2,True
Q009,simple,factual_evidence,05_llm_evaluation_survey_chang_2023.pdf,"Secondo il survey, quali sono le tre grandi aree in cui vengono organizzati i metodi di valutazione degli LLM?","Il survey organizza la valutazione in: (1) valutazione su task e benchmark (conoscenza, ragionamento, coding, matematica, ecc.), (2) valutazione della qualità della generazione e safety (bias, tossicità, allucinazione), (3) metodi di valutazione (automatica, umana, LLM-as-judge).","Task e benchmark (conoscenza, ragionamento, ecc.);Qualità generazione e safety (bias, tossicità, allucinazione);Metodi di valutazione (automatica, umana, LLM-as-judge)",2,True
Q010,simple,factual_evidence,05_llm_evaluation_survey_chang_2023.pdf,Quali due benchmark specifici cita il survey rispettivamente per la valutazione della conoscenza generale e del ragionamento matematico?,Per conoscenza generale: MMLU (Massive Multitask Language Understanding). Per ragionamento matematico: GSM8K (Grade School Math 8K) anche se non specifico o MATH.,MMLU per conoscenza generale;GSM8K per ragionamento matematico,2,True
